DEBUG 2025-07-18 20:04:41,453 autoreload File L:\Programming\Python\Main Problem Solving\Django\Crms\env\Lib\site-packages\idna\package_data.py first seen with mtime 1752842003.5265524
DEBUG 2025-07-18 20:04:41,454 autoreload File L:\Programming\Python\Main Problem Solving\Django\Crms\env\Lib\site-packages\certifi\core.py first seen with mtime 1752842004.1524868
DEBUG 2025-07-18 20:04:41,454 autoreload File L:\Programming\Python\Main Problem Solving\Django\Crms\env\Lib\site-packages\django\conf\__init__.py first seen with mtime 1752842004.853498
DEBUG 2025-07-18 20:04:41,455 autoreload File C:\Python 3.11.9\Lib\weakref.py first seen with mtime 1712040174.0
DEBUG 2025-07-18 20:04:41,455 autoreload File C:\Python 3.11.9\Lib\importlib\resources\abc.py first seen with mtime 1712040174.0
DEBUG 2025-07-18 20:04:41,459 autoreload File L:\Programming\Python\Main Problem Solving\Django\Crms\env\Lib\site-packages\sqlparse\tokens.py first seen with mtime 1752842000.4869628
DEBUG 2025-07-18 20:04:41,459 autoreload File L:\Programming\Python\Main Problem Solving\Django\Crms\env\Lib\site-packages\django\core\files\images.py first seen with mtime 1752842011.9535365
DEBUG 2025-07-18 20:04:41,460 autoreload File L:\Programming\Python\Main Problem Solving\Django\Crms\env\Lib\site-packages\rest_framework\utils\json.py first seen with mtime 1752842030.2814171
DEBUG 2025-07-18 20:04:41,460 autoreload File L:\Programming\Python\Main Problem Solving\Django\Crms\env\Lib\site-packages\django\views\generic\__init__.py first seen with mtime 1752842012.3292186
DEBUG 2025-07-18 20:04:41,461 autoreload File L:\Programming\Python\Main Problem Solving\Django\Crms\env\Lib\site-packages\django\test\__init__.py first seen with mtime 1752842012.2291412
DEBUG 2025-07-18 20:04:41,461 autoreload File L:\Programming\Python\Main Problem Solving\Django\Crms\env\Lib\site-packages\django\test\signals.py first seen with mtime 1752842012.2447684
DEBUG 2025-07-18 20:04:41,461 autoreload File L:\Programming\Python\Main Problem Solving\Django\Crms\env\Lib\site-packages\django\utils\dates.py first seen with mtime 1752842012.253387
DEBUG 2025-07-18 20:04:41,462 autoreload File L:\Programming\Python\Main Problem Solving\Django\Crms\env\Lib\site-packages\django\contrib\auth\password_validation.py first seen with mtime 1752842007.526385
DEBUG 2025-07-18 20:04:41,462 autoreload File C:\Python 3.11.9\Lib\dis.py first seen with mtime 1712040174.0
DEBUG 2025-07-18 20:04:41,462 autoreload File L:\Programming\Python\Main Problem Solving\Django\Crms\env\Lib\site-packages\django\core\files\storage\__init__.py first seen with mtime 1752842011.9535365
DEBUG 2025-07-18 20:04:41,463 autoreload File C:\Python 3.11.9\Lib\smtplib.py first seen with mtime 1712040174.0
DEBUG 2025-07-18 20:04:41,464 autoreload File L:\Programming\Python\Main Problem Solving\Django\Crms\env\Lib\site-packages\charset_normalizer\utils.py first seen with mtime 1752842003.802485
DEBUG 2025-07-18 20:04:41,464 autoreload File L:\Programming\Python\Main Problem Solving\Django\Crms\env\Lib\site-packages\django\contrib\contenttypes\fields.py first seen with mtime 1752842007.7702024
DEBUG 2025-07-18 20:04:41,466 autoreload File L:\Programming\Python\Main Problem Solving\Django\Crms\env\Lib\site-packages\django\contrib\messages\storage\base.py first seen with mtime 1752842009.3763871
DEBUG 2025-07-18 20:04:41,468 autoreload File C:\Python 3.11.9\Lib\queue.py first seen with mtime 1712040174.0
DEBUG 2025-07-18 20:04:41,471 autoreload File L:\Programming\Python\Main Problem Solving\Django\Crms\env\Lib\site-packages\django\core\exceptions.py first seen with mtime 1752842011.926747
DEBUG 2025-07-18 20:04:41,473 autoreload File L:\Programming\Python\Main Problem Solving\Django\Crms\env\Lib\site-packages\django\contrib\admin\__init__.py first seen with mtime 1752842005.1427593
DEBUG 2025-07-18 20:04:41,473 autoreload File L:\Programming\Python\Main Problem Solving\Django\Crms\env\Lib\site-packages\django\template\context.py first seen with mtime 1752842012.2191195
DEBUG 2025-07-18 20:04:41,474 autoreload File C:\Python 3.11.9\Lib\traceback.py first seen with mtime 1712040174.0
DEBUG 2025-07-18 20:04:41,474 autoreload File L:\Programming\Python\Main Problem Solving\Django\Crms\env\Lib\site-packages\django\test\html.py first seen with mtime 1752842012.2447684
DEBUG 2025-07-18 20:04:41,475 autoreload File L:\Programming\Python\Main Problem Solving\Django\Crms\env\Lib\site-packages\django\core\files\utils.py first seen with mtime 1752842011.9535365
DEBUG 2025-07-18 20:04:41,475 autoreload File L:\Programming\Python\Main Problem Solving\Django\Crms\env\Lib\site-packages\django\views\generic\dates.py first seen with mtime 1752842012.3695762
DEBUG 2025-07-18 20:04:41,476 autoreload File L:\Programming\Python\Main Problem Solving\Django\Crms\env\Lib\site-packages\django\contrib\auth\forms.py first seen with mtime 1752842007.5203822
DEBUG 2025-07-18 20:04:41,477 autoreload File C:\Python 3.11.9\Lib\asyncio\windows_events.py first seen with mtime 1712040174.0
DEBUG 2025-07-18 20:04:41,477 autoreload File C:\Python 3.11.9\Lib\asyncio\constants.py first seen with mtime 1712040174.0
DEBUG 2025-07-18 20:04:41,478 autoreload File L:\Programming\Python\Main Problem Solving\Django\Crms\env\Lib\site-packages\django\core\cache\__init__.py first seen with mtime 1752842011.929252
DEBUG 2025-07-18 20:04:41,478 autoreload File L:\Programming\Python\Main Problem Solving\Django\Crms\env\Lib\site-packages\urllib3\_version.py first seen with mtime 1752841998.9042983
DEBUG 2025-07-18 20:04:41,479 autoreload File L:\Programming\Python\Main Problem Solving\Django\Crms\env\Lib\site-packages\rest_framework\templatetags\__init__.py first seen with mtime 1752842030.2720895
DEBUG 2025-07-18 20:04:41,479 autoreload File L:\Programming\Python\Main Problem Solving\Django\Crms\env\Lib\site-packages\django\core\servers\__init__.py first seen with mtime 1752842012.0032275
DEBUG 2025-07-18 20:04:41,479 autoreload File L:\Programming\Python\Main Problem Solving\Django\Crms\env\Lib\site-packages\django\core\serializers\json.py first seen with mtime 1752842012.0032275
